Numero,Prompt,Longueur,Complexite,Theme
710,Quelle est l’importance des droits numériques pour les citoyens ?,long,4,technologie
711,Que pensez-vous de l’évolution du rôle des femmes dans la société ?,long,3,société
712,Quel est le rôle de l’ONU dans la régulation des conflits ?,long,3,société
713,Que pensez-vous du potentiel de l’énergie de fusion ?,long,4,science
714,Quelle est l’importance de la confidentialité des données personnelles ?,long,4,technologie
715,Que pensez-vous de l’idée de coloniser les océans (villes flottantes) ?,long,4,futurisme
716,Quelle est l’importance de la littérature dans la formation de la pensée critique ?,long,4,art
717,Que pensez-vous de l’utilisation des drones militaires ?,long,4,technologie
718,Quel est le rôle de la psychologie dans l’amélioration des performances sportives ?,long,4,sport
719,Que pensez-vous de la relation entre l’art et la politique ?,long,3,art
720,Quelle est l’importance de la diplomatie culturelle entre les nations ?,long,4,société
721,Que pensez-vous de l’idée d’une éducation universelle et gratuite ?,long,4,société
722,Quelle est l’importance de l’intelligence émotionnelle en milieu de travail ?,long,4,psychologie
723,Que pensez-vous de la colonisation planétaire comme “Plan B” pour l’humanité ?,long,4,futurisme
724,Quelle est l’importance des ONG dans l’aide humanitaire internationale ?,long,3,société
725,Que pensez-vous de l’influence de la Lune sur le comportement humain ?,long,2,science
726,Quelle est l’importance des abeilles dans les écosystèmes ?,long,3,nature
727,Que pensez-vous de la thérapie génique pour traiter les maladies héréditaires ?,long,4,science
728,Quel est le rôle de la philosophie dans le débat moral sur l’euthanasie ?,long,5,philosophie
729,Que pensez-vous de la mode éthique et durable ?,long,2,société
730,Quelle est l’importance de la musique dans l’éducation ?,long,3,art
731,Que pensez-vous de l’introduction d’espèces invasives dans un écosystème ?,long,4,nature
732,Quelle est l’importance du langage corporel dans la communication ?,long,3,psychologie
733,Que pensez-vous de la légalisation de l’euthanasie ?,long,4,société
734,Quelle est l’importance du mouvement Maker dans l’innovation ?,long,4,technologie
735,Que pensez-vous de la protection des données personnelles en ligne ?,long,4,technologie
736,Quelle est l’importance de la recherche spatiale pour la science ?,long,4,futurisme
737,Que pensez-vous de l’impact d’Internet sur la lecture et la concentration ?,long,3,technologie
738,Quelle est l’importance de la diplomatie dans la résolution des conflits internationaux ?,long,4,société
739,Que pensez-vous du rôle de la jeunesse dans les changements sociaux ?,long,3,société
740,Quelle est l’importance de la biodiversité dans les récifs coralliens ?,long,4,nature
741,Que pensez-vous de la notion d’égalité des chances ?,long,3,société
742,Quelle est l’importance de l’apprentissage des langues étrangères ?,long,3,société
743,Que pensez-vous de la médiatisation des procès criminels ?,long,3,société
744,Quelle est l’importance du vote dans une démocratie ?,long,2,société
745,Que pensez-vous de la théorie de l’évolution ?,court,5,science
746,Quelle est l’importance de la fertilité des sols pour l’agriculture ?,long,4,science
747,Que pensez-vous de l’idée de télépathie ?,court,2,science
748,Quelle est l’importance de la mode dans l’expression personnelle ?,long,2,société
749,Que pensez-vous du rôle de l’État dans la régulation économique ?,long,4,société
750,Quelle est l’importance de l’humilité dans le leadership ?,long,3,société
751,"Que pensez-vous des méthodes de colonisation spatiale (dômes, souterrains, etc.) ?",très long,4,futurisme
752,Quelle est l’importance de la curiosité scientifique ?,long,3,science
753,Que pensez-vous de l’influence française dans la gastronomie mondiale ?,long,3,gastronomie
754,Quelle est l’importance de la poésie dans la littérature mondiale ?,long,3,art
755,Que pensez-vous de la diversité dans les médias ?,long,3,société
756,Quel est le rôle des mathématiques dans les autres disciplines scientifiques ?,long,4,science
757,Que pensez-vous de l’idée d’une conscience artificielle ?,long,4,technologie
758,Quelle est l’importance des droits de l’enfant ?,long,3,société
759,Que pensez-vous de l’athéisme dans les sociétés majoritairement religieuses ?,long,4,philosophie
760,Quelle est l’importance de l’eau potable pour le développement ?,long,3,nature
761,Que pensez-vous de la robotique éducative dans les écoles ?,long,3,technologie
762,Quelle est l’importance de la philosophie des Lumières aujourd’hui ?,long,4,philosophie
763,Que pensez-vous des expériences de pensée en philosophie (ex : dilemme du tramway) ?,long,4,philosophie
764,Quel est le rôle de l’empathie dans les relations humaines ?,moyen,3,psychologie
765,Que pensez-vous de l’immersion linguistique pour apprendre une langue ?,long,2,société
766,Quelle est l’importance de la solidarité internationale en cas de catastrophe ?,long,3,société
767,Que pensez-vous de la méthode scientifique ?,court,3,science
768,Quelle est l’importance de l’éducation civique à l’école ?,long,3,société
769,Que pensez-vous de l’impact des émissions de téléréalité sur la société ?,long,2,société
770,Quelle est l’importance des associations étudiantes dans la vie universitaire ?,long,2,société
771,Que pensez-vous de la globalisation culturelle grâce à Internet ?,long,3,société
772,Quelle est l’importance de la langue latine dans les langues modernes ?,long,3,art
773,Que pensez-vous des défis logiques comme les échecs ou le go pour le cerveau ?,très long,3,logique
774,Quelle est l’importance de l’histoire de l’art dans la compréhension d’une œuvre ?,long,3,art
775,Que pensez-vous du métier d’influenceur ?,court,2,société
776,Quelle est l’importance de la biodiversité dans un jardin urbain ?,long,3,nature
777,Que pensez-vous du “cloud computing” pour le stockage des données ?,long,3,technologie
778,Quelle est l’importance de l’accessibilité numérique pour les personnes handicapées ?,long,4,technologie
779,Que pensez-vous de l’éducation sexuelle à l’école ?,long,3,société
780,Quelle est l’importance de la négociation dans la diplomatie ?,long,3,société
781,Que pensez-vous du concept d’identité nationale à l’ère de la mondialisation ?,long,4,société
782,Quelle est l’importance du patrimoine mondial de l’UNESCO ?,long,3,histoire
783,Que pensez-vous de l’énergie éolienne ?,court,2,science
784,Quelle est l’importance des récits mythologiques dans les cultures modernes ?,long,4,art
785,Que pensez-vous de la notion de destin ?,court,3,philosophie
786,Quelle est l’importance de la recherche fondamentale même sans application immédiate ?,long,4,science
787,Que pensez-vous de la pratique du débat en classe ?,long,2,société
788,Quelle est l’importance de la mémoire historique ?,long,3,histoire
789,Que pensez-vous de la mode “fast fashion” ?,court,2,société
790,Quelle est l’importance du recyclage des déchets électroniques ?,long,3,technologie
791,Que pensez-vous du sport électronique (e-sport) ?,court,2,sport
792,Quelle est l’importance du droit des animaux dans la société moderne ?,long,4,société
793,Que pensez-vous du phénomène du burn-out au travail ?,long,3,psychologie
794,Quelle est l’importance de la littérature scientifique en accès libre (open access) ?,long,4,science
795,Que pensez-vous de l’utilisation des statistiques en sciences sociales ?,long,3,science
796,Quelle est l’importance de la philosophie orientale dans le développement personnel ?,long,4,philosophie
797,Que pensez-vous de l’immigration comme source de richesse culturelle ?,long,3,société
798,Quelle est l’importance de la fête dans la cohésion sociale ?,long,3,société
799,Que pensez-vous de l’utilisation de tablettes à l’école primaire ?,long,3,technologie
800,Quelle est l’importance de préserver l’Amazonie pour l’équilibre climatique ?,long,4,nature
801,Que pensez-vous du rôle des médias sociaux dans les mouvements sociaux récents ?,long,4,société
802,Quelle est l’importance des parcs nationaux pour la conservation ?,long,3,nature
803,Que pensez-vous de la philosophie stoïcienne appliquée aujourd’hui ?,long,4,philosophie
804,"Quelle est l’importance des femmes dans les STIM (sciences, technologie, ingénierie, mathématiques) ?",long,4,société
805,Que pensez-vous de l’architecture écologique (éco-construction) ?,long,3,art
806,Quelle est l’importance de la psychologie du travail pour le bien-être des employés ?,long,3,psychologie
807,Que pensez-vous de la protection des droits d’auteur à l’ère numérique ?,long,4,technologie
808,Quelle est l’importance des codes moraux dans les jeux vidéo narratifs ?,long,3,art
809,Que pensez-vous de la relation entre science et religion ?,long,4,philosophie
810,Quelle est l’importance de la traduction pour la diffusion des savoirs ?,long,3,art
811,Que pensez-vous de la diminution de la biodiversité dans les océans ?,long,4,nature
812,Quelle est l’importance de la pensée critique à l’ère de la désinformation ?,long,4,philosophie
813,Que pensez-vous du développement durable en milieu urbain ?,long,3,société
814,Quelle est l’importance de l’éthique dans la recherche scientifique ?,long,4,science
815,Que pensez-vous des initiatives de revenu minimum universel ?,long,4,société
816,Quelle est l’importance de la simulation informatique en météo ?,long,3,science
817,Que pensez-vous du langage inclusif ?,court,3,société
818,Quelle est l’importance des réseaux d’entraide locaux ?,long,3,société
819,Que pensez-vous de l’utilisation de robots dans les soins aux personnes âgées ?,long,4,technologie
820,Quelle est l’importance de la psychologie du développement dans l’éducation ?,long,3,psychologie
821,Que pensez-vous de la place de la philosophie dans les programmes scolaires ?,long,4,philosophie
822,"Quelle est l’importance du patrimoine immatériel (chants, danses, traditions) ?",long,3,histoire
823,Que pensez-vous du concept d’économie circulaire ?,long,3,science
824,Quelle est l’importance de la santé mentale dans les politiques de santé publique ?,long,4,psychologie
825,Que pensez-vous de la notion de progrès infini ?,court,4,philosophie
826,Quelle est l’importance de la formation continue tout au long de la vie ?,long,3,société
827,Que pensez-vous des initiatives de villes sans voiture ?,long,3,société
828,Quelle est l’importance de la pluralité des médias pour la démocratie ?,long,4,société
829,Que pensez-vous de la gestion de la pandémie par l’OMS ?,long,4,société
830,Quelle est l’importance de la science citoyenne (participation du public à la recherche) ?,long,3,science
831,Que pensez-vous de l’art numérique ?,court,2,art
832,"Quelle est l’importance des langues mortes (latin, grec) dans la culture contemporaine ?",long,3,art
833,Que pensez-vous de l’idée d’une “année sabbatique” pour les étudiants ?,long,2,société
834,Quelle est l’importance de la théorie du chaos en science ?,long,4,science
835,Que pensez-vous de l’impact des influenceurs sur la consommation ?,long,3,société
836,Quelle est l’importance de l’éducation parentale dans la petite enfance ?,long,3,psychologie
837,Que pensez-vous de la cohabitation intergénérationnelle (maison de retraite et crèche ensemble) ?,long,3,société
838,Quelle est l’importance de la musique dans la culture japonaise traditionnelle ?,long,3,art
839,Que pensez-vous de la dualité onde-corpuscule en physique quantique ?,long,5,science
840,Quelle est l’importance des amphibiens dans les écosystèmes ?,long,3,nature
841,Que pensez-vous du sens de la vie ?,court,5,philosophie
842,Quelle est l’importance de la collaboration internationale en science ?,long,4,science
843,Que pensez-vous de l’immersion culturelle lors de voyages à l’étranger ?,long,2,société
844,Quelle est l’importance de l’éducation financière pour les adolescents ?,long,3,société
845,Que pensez-vous des expériences sur la conscience (ex: expérience de la caverne de Platon) ?,très long,5,philosophie
846,Quelle est l’importance du design dans la vie quotidienne ?,long,2,art
847,Que pensez-vous de l’automatisation de la main-d’œuvre ?,long,3,technologie
848,Quelle est l’importance des réseaux sociaux dans la publicité moderne ?,long,3,société
849,Que pensez-vous de l’avenir de la langue française face à l’anglais ?,long,3,société
850,Quelle est l’importance de la philosophie dans la science (éthique scientifique) ?,long,4,philosophie
851,Que pensez-vous du commerce en ligne par rapport aux magasins physiques ?,long,2,société
852,Quelle est l’importance des archives historiques ?,long,3,histoire
853,Que pensez-vous de l’intérêt grandissant pour la méditation et le yoga en Occident ?,long,3,psychologie
854,Quelle est l’importance de la diversité des écosystèmes pour la résilience climatique ?,long,4,nature
855,Que pensez-vous des cryptomonnaies comme alternative aux monnaies traditionnelles ?,long,3,technologie
856,Quelle est l’importance de l’apprentissage de l’histoire pour éviter de répéter les erreurs du passé ?,long,4,histoire
857,Que pensez-vous de la notion de bonheur au travail ?,long,3,psychologie
858,Quelle est l’importance des mathématiques dans la vie de tous les jours ?,long,2,science
859,Que pensez-vous de la relation entre musique et mathématiques ?,long,3,art
860,Quelle est l’importance des amphithéâtres dans l’éducation antique ?,long,2,histoire
861,Que pensez-vous du rôle des médias dans la crise climatique ?,long,4,société
862,Quelle est l’importance des livres numériques par rapport aux livres papier ?,long,2,technologie
863,Que pensez-vous de l’influence de la cuisine française à l’étranger ?,long,2,gastronomie
864,Quelle est l’importance de la diversité linguistique dans le monde ?,long,3,société
865,Que pensez-vous de la mode comme forme d’art ?,court,2,art
866,Quelle est l’importance de la recherche en psychologie cognitive pour l’éducation ?,long,4,psychologie
867,Que pensez-vous de la responsabilité des scientifiques dans l’utilisation de leurs découvertes ?,long,4,science
868,Quelle est l’importance de l’éducation musicale dès le plus jeune âge ?,long,3,art
869,Que pensez-vous de la restauration des œuvres d’art endommagées ?,long,3,art
870,Quelle est l’importance de l’empathie dans la société actuelle ?,long,3,psychologie
871,Que pensez-vous de la colonisation de la Lune avant Mars ?,long,4,futurisme
872,Quelle est l’importance de la festivité et des célébrations pour une communauté ?,long,2,société
873,Que pensez-vous de la dépendance aux technologies modernes ?,long,3,psychologie
874,Quelle est l’importance du mentorat pour la réussite professionnelle ?,long,3,société
875,Que pensez-vous de l’idée de rendre les transports en commun gratuits ?,long,3,société
876,Quelle est l’importance des récits de science-fiction dans l’inspiration scientifique réelle ?,long,4,futurisme
877,Que pensez-vous de la censure sur Internet par les gouvernements ?,long,3,société
878,Quelle est l’importance de la biodiversité dans les sols agricoles ?,long,4,nature
879,Que pensez-vous de l’éthique de l’édition du génome humain (CRISPR) ?,long,5,science
880,Quelle est l’importance du patrimoine architectural dans l’identité d’une ville ?,long,3,art
881,Que pensez-vous de l’impact de l’intelligence artificielle sur l’emploi ?,long,4,technologie
882,Quelle est l’importance des bibliothèques à l’ère du numérique ?,long,3,société
883,Que pensez-vous de la responsabilité individuelle vs collective dans la lutte contre le changement climatique ?,très long,4,société
884,Quelle est l’importance de la Lune dans certaines cultures ?,long,2,nature
885,Que pensez-vous de la théorie des jeux en économie ?,long,4,science
886,Quelle est l’importance de la méditation dans les pratiques de bien-être modernes ?,long,3,psychologie
887,Que pensez-vous de la divulgation d’informations classifiées pour la transparence (lanceurs d’alerte) ?,très long,4,société
888,Quelle est l’importance de la mémoire collective après un conflit ?,long,4,histoire
889,Que pensez-vous du tourisme virtuel (voyages en réalité virtuelle) ?,long,2,technologie
890,Quelle est l’importance de la biodiversité des insectes pollinisateurs ?,long,4,nature
891,Que pensez-vous du rôle de l’éthique dans l’intelligence artificielle ?,long,4,technologie
892,Quelle est l’importance de la poésie dans la culture chinoise ?,long,3,art
893,Que pensez-vous de l’enseignement de la philosophie dès le collège ?,long,3,philosophie
894,Quelle est l’importance de l’accès à l’eau potable dans le monde ?,long,3,nature
895,Que pensez-vous du pouvoir des algorithmes sur nos choix en ligne ?,long,4,technologie
896,Quelle est l’importance de la robotique dans la chirurgie moderne ?,long,4,technologie
897,Que pensez-vous de l’évolution du rôle des bibliothèques à l’ère numérique ?,long,3,société
898,Quelle est l’importance du bénévolat chez les jeunes ?,long,2,société
899,Que pensez-vous de l’utilisation des masques en réalité augmentée ?,long,2,technologie
900,Quelle est l’importance de la langue arabe dans les sciences du Moyen Âge ?,long,3,histoire
901,Que pensez-vous de la relation entre la science et la science-fiction ?,long,3,science
902,Quelle est l’importance de la cuisine méditerranéenne pour la santé ?,long,2,gastronomie
903,Que pensez-vous de l’hypothèse Gaïa en écologie ?,long,4,nature
904,Quelle est l’importance des satellites météorologiques pour les prévisions ?,long,3,science
905,Que pensez-vous de la télémédecine ?,court,3,technologie
906,Quelle est l’importance des récits historiques dans la construction des nations ?,long,4,histoire
907,Que pensez-vous de l’exploration des abysses marins ?,long,3,nature
908,Quelle est l’importance du sport dans l’éducation des jeunes ?,long,3,sport
909,Que pensez-vous de la politisation du sport ?,long,3,sport
910,Quelle est l’importance de la prévention en médecine ?,long,3,science
911,Que pensez-vous de la place de l’anglais comme langue internationale ?,long,3,société
912,Quelle est l’importance de la philosophie morale dans la bioéthique ?,long,5,philosophie
913,Que pensez-vous de l’idée de quartiers autosuffisants en énergie ?,long,4,science
914,Quelle est l’importance de la faune sauvage dans les zones protégées ?,long,4,nature
915,Que pensez-vous de l’utilisation de l’intelligence artificielle en art (ex : tableaux générés) ?,long,4,art
916,Quelle est l’importance de la famille élargie dans certaines cultures ?,long,2,société
917,Que pensez-vous du transhumanisme et de l’augmentation de l’humain ?,long,5,technologie
918,Quelle est l’importance de la recherche océanographique ?,long,3,nature
919,Que pensez-vous de la décroissance comme modèle économique alternatif ?,long,4,société
920,Quelle est l’importance des festivals culturels pour la société ?,long,2,société
921,Que pensez-vous de la place de la poésie dans la chanson actuelle ?,long,3,art
922,Quelle est l’importance de la simulation informatique en économie (modèles économiques) ?,long,4,science
923,Que pensez-vous du rôle des citoyens dans la science participative ?,long,3,science
924,Quelle est l’importance de l’histoire locale dans l’identité culturelle ?,long,3,histoire
925,Que pensez-vous de l’impact de l’automatisation sur la qualité de vie ?,long,4,technologie
926,Quelle est l’importance des incubateurs de start-ups pour l’innovation ?,long,3,technologie
927,"Que pensez-vous de la philanthropie des milliardaires (ex : Gates, Buffett) ?",long,3,société
928,Quelle est l’importance de la tradition orale dans la transmission des savoirs ?,long,3,histoire
929,Que pensez-vous de l’usage de robots compagnons (comme Aibo) ?,long,2,technologie
930,Quelle est l’importance de la fiction dans la compréhension de la réalité ?,long,4,art
931,Que pensez-vous du “cloud gaming” pour l’avenir du jeu vidéo ?,long,2,technologie
932,Quelle est l’importance de l’éducation à la citoyenneté mondiale ?,long,3,société
933,Que pensez-vous de la responsabilité collective face aux pandémies ?,long,4,société
934,Quelle est l’importance de la théorie de l’évolution dans la biologie moderne ?,long,4,science
935,Que pensez-vous de la notion de temps cyclique dans certaines philosophies ?,long,5,philosophie
936,Quelle est l’importance des forêts urbaines pour les villes ?,long,4,nature
937,Que pensez-vous de l’utilisation de drones pour la livraison de colis ?,long,2,technologie
938,Quelle est l’importance de l’artisanat local dans l’économie ?,long,3,société
939,"Que pensez-vous des thérapies alternatives (homéopathie, acupuncture) ?",long,3,science
940,Quelle est l’importance de la pensée de Descartes dans la science moderne ?,long,4,philosophie
941,Que pensez-vous de l’impact environnemental du numérique (pollution numérique) ?,long,4,technologie
942,"Quelle est l’importance des mathématiques dans la musique (rythme, harmonique) ?",long,3,art
943,Que pensez-vous du libre-échange commercial mondial ?,long,3,société
944,Quelle est l’importance de l’agriculture biologique pour la santé et l’environnement ?,long,3,gastronomie
945,Que pensez-vous de l’impact du tourisme de masse sur les sites historiques ?,long,4,histoire
946,Quelle est l’importance des mythes de création dans différentes cultures ?,long,4,art
947,Que pensez-vous de la protection des lanceurs d’alerte ?,long,4,société
948,Quelle est l’importance de la psychologie sociale dans la compréhension des comportements de groupe ?,long,4,psychologie
949,Que pensez-vous de l’héritage culturel de la Grèce antique ?,long,3,histoire
950,Quelle est l’importance de la cartographie ancienne pour la géographie moderne ?,long,3,histoire
951,Que pensez-vous du rôle des influenceurs dans l’éducation (ex : vulgarisateurs scientifiques) ?,très long,3,société
952,Quelle est l’importance de la notion de respect dans les relations internationales ?,long,4,société
953,Que pensez-vous du commerce équitable pour les producteurs du Sud ?,long,2,société
954,Quelle est l’importance de la méditation transcendantale dans la gestion du stress ?,long,3,psychologie
955,Que pensez-vous de la colonisation des fonds marins (mines sous-marines) ?,long,4,nature
956,Quelle est l’importance de la science des données (data science) dans la société actuelle ?,long,4,technologie
957,Que pensez-vous de la place de l’anglais dans les terminologies scientifiques ?,long,3,science
958,Quelle est l’importance des romans dystopiques pour la réflexion sociale ?,long,4,art
959,Que pensez-vous de l’impact des IA créatives sur la production artistique ?,long,4,art
960,Quelle est l’importance de l’éthique en politique ?,long,4,philosophie
961,Que pensez-vous du rôle des émotions en politique ?,long,4,psychologie
962,Quelle est l’importance de la mémoire culturelle de la Seconde Guerre mondiale en Europe ?,long,4,histoire
963,Que pensez-vous de la théorie de la relativité pour notre vision du temps et de l’espace ?,long,5,science
964,Quelle est l’importance de l’introspection philosophique pour le développement personnel ?,long,4,philosophie
965,Que pensez-vous de l’évolution du langage avec les émojis et abréviations ?,long,2,société
966,Quelle est l’importance de la lutte contre les discriminations systémiques ?,long,4,société
967,Que pensez-vous de la valorisation de l’artisanat local dans l’économie globalisée ?,long,3,société
968,Quelle est l’importance du développement des énergies renouvelables pour l’avenir ?,long,4,science
969,Que pensez-vous de l’importance de la mode comme moyen d’expression politique ?,long,3,société
970,Quelle est l’importance des colloïdes en chimie et en industrie ?,long,4,science
971,Que pensez-vous de la gamification dans l’apprentissage ?,long,3,psychologie
972,Quelle est l’importance de la critique constructive dans la société ?,long,3,philosophie
973,Que pensez-vous de l’influence du climat sur les civilisations historiques ?,long,4,histoire
974,Quelle est l’importance de la robotique dans l’exploration spatiale ?,long,4,technologie
975,Que pensez-vous des monnaies locales complémentaires ?,long,3,société
976,Quelle est l’importance de la narratologie dans les jeux vidéo ?,long,3,art
977,Que pensez-vous du fait de peupler d’autres planètes ?,court,4,futurisme
978,Quelle est l’importance des rituels dans la construction de la communauté ?,long,3,société
979,Que pensez-vous de la place de l’intuition dans le processus scientifique ?,long,4,science
980,Quelle est l’importance de la biodiversité dans les montagnes ?,long,3,nature
981,Que pensez-vous de l’impact de la musique sur la productivité ?,long,3,psychologie
982,Quelle est l’importance des mathématiques dans la modélisation du climat ?,long,4,science
983,Que pensez-vous de l’idée du libre arbitre à l’ère des neurosciences ?,long,5,philosophie
984,Quelle est l’importance de l’éthique du hacking (hacking éthique) ?,long,4,technologie
985,Que pensez-vous de la montée de l’auto-édition (livres autopubliés) ?,long,2,art
986,Quelle est l’importance de l’éducation multiculturelle dans nos sociétés ?,long,3,société
987,Que pensez-vous de la recherche de la vie extraterrestre ?,long,3,futurisme
988,Quelle est l’importance des échanges Erasmus pour la construction européenne ?,long,3,société
989,Quelle est l’importance de la musique baroque ?,moyen,5,art
990,Que pensez-vous de l’éthique utilitariste ?,court,5,philosophie
991,Quelle est l’importance du conditionnement pavlovien ?,court,5,psychologie
992,Quelle est l’importance de la viticulture ?,court,5,gastronomie
993,Quelle est l’importance de la pollution plastique ?,moyen,5,nature
994,Que pensez-vous de la singularité technologique ?,court,5,futurisme
995,Quelles sont les conséquences de la crise économique ?,moyen,5,société
996,Quelle est l’importance de l’empire ottoman ?,court,5,histoire
997,Quelle est l’importance de l’informatique quantique ?,court,5,technologie
998,Comment fonctionne le comportement social ?,court,5,psychologie
999,Que pensez-vous de la pollution plastique ?,court,5,nature
1000,Quelle est l’importance du concept d’inconscient chez Freud ?,moyen,5,philosophie
